"ID","EffTimestampUTC","ASIN","Brand","ListPrice","ListPriceCd","LowestNewPrice","LowestNewPriceCd","LowestUsedPrice","LowestUsedPriceCd","LowestRefurbPrice","LowestRefurbPriceCd","Manufacturer","Model","MPN","NumberOfItems","PackageQuantity","PartNumber","ProductTypeName","Title","UPC","Warranty"
128,1532711044,"B00CK2DM7Y","JOYO",1799,"USD",1799,"USD",NA,NA,NA,NA,"Joyo","JA-03","JA-03",1,1,"JA-03","SOUND_AND_RECORDING_EQUIPMENT","JOYO JA-03 ""Tube Drive"" Sound Effect Mini Guitar Pocket Amplifier with Headphone Output","798033251482","1"
129,1532754018,"B078G1VHYN","NVIDIA",358799,"USD",280000,"USD",50000,"USD",NA,NA,"NVIDIA",NA,"900-1G500-2500-000",NA,1,"900-1G500-2500-000","VIDEO_CARD","NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD","812674021416",NA
130,1532754033,"B01BCDK1KC","Lambda",NA,NA,1425600,"USD",50000,"USD",NA,NA,"Lambda Labs, Inc.","DBM-V3","DB-3",NA,NA,"DB-3","PERSONAL_COMPUTER","Lambda Deep Learning DevBox - with NVIDIA DIGITS - 4x NVIDIA GTX TITAN X 12GB GPUs - Preinstalled with Ubuntu 14.04 LTS, CUDA, Caffe, Torch, and CuDNN","694263972749",NA
131,1532754089,"B07BYHGNB5","Samsung",49999,"USD",49589,"USD",42159,"USD",69977,"USD","Samsung Electronics DAV","MZ-V7P1T0BW","MZ-V7P1T0BW",1,1,"MZ-V7P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 970 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD Black/Red (MZ-V7P1T0BW)","887276261928","5-Year Limited Warranty"
132,1532754133,"B01LXS4TYB","Samsung",28899,"USD",28338,"USD",17900,"USD",18900,"USD","Samsung IT","MZ-V6P512BW","MZ-V6P512BW",1,1,"MZ-V6P512BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO NVMe M.2 512GB SSD (MZ-V6P512BW)","887276185316","5 Years/400TBW"
133,1532754142,"B01LYRCIPG","Samsung",59900,"USD",45485,"USD",38946,"USD",46900,"USD","Samsung","MZ-V6P1T0BW","MZ-V6P1T0BW",1,1,"MZ-V6P1T0BW","COMPUTER_DRIVE_OR_STORAGE","Samsung 960 PRO Series - 1TB PCIe NVMe - M.2 Internal SSD (MZ-V6P1T0BW)","887276185323","5 Years/800TBW"
134,1532754163,"B01N4C44VN","Corsair",14599,"USD",11998,"USD",NA,NA,NA,NA,"Corsair Memory Only","CSSD-F240GBMP500","CSSD-F240GBMP500",NA,1,"CSSD-F240GBMP500","COMPUTER_DRIVE_OR_STORAGE","Corsair Force Series MP500 240GB M.2 NVMe PCIe Gen. 3 x4 SSD","843591096720","3 Years"
135,1532754181,"B00NAUHX1G","Vox",4499,"USD",3980,"USD",3566,"USD",NA,NA,"Korg USA Inc.","AP2AC","AP2-AC",1,1,"AP2-AC","SOUND_AND_RECORDING_EQUIPMENT","VOX AP2AC amPlug AC30 G2 Guitar Headphone","755756644472","1 year."
136,1532797214,"B078G1VHYN","NVIDIA",358799,"USD",280000,"USD",256000,"USD",NA,NA,"NVIDIA",NA,"900-1G500-2500-000",NA,1,"900-1G500-2500-000","VIDEO_CARD","NVIDIA TITAN V VOLTA 12GB HBM2 VIDEO CARD","812674021416",NA
137,1532797238,"B01BCDK1KC","Lambda",NA,NA,1425600,"USD",NA,NA,NA,NA,"Lambda Labs, Inc.","DBM-V3","DB-3",NA,NA,"DB-3","PERSONAL_COMPUTER","Lambda Deep Learning DevBox - with NVIDIA DIGITS - 4x NVIDIA GTX TITAN X 12GB GPUs - Preinstalled with Ubuntu 14.04 LTS, CUDA, Caffe, Torch, and CuDNN","694263972749",NA
